É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2015/01/27 14:58:04

,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy
2012/12/8,-0.8,8,1,-5.6,8,1,32,0,8,1,24,0,8,1,1000.0,8,1,70,8,1,3.5,8,1,9.5,8,ñkêº,8,1
2012/12/9,-0.2,8,1,-5.8,8,1,31,0,8,1,0,1,8,1,992.9,8,1,60,8,1,2.7,8,1,8.8,8,êº,8,1
2012/12/10,3.7,8,1,-3.1,8,1,27,0,8,1,0,1,5,1,997.4,5,1,69,5,1,3.1,5,1,7.4,8,ñkêº,8,1
2012/12/11,0.6,8,1,-3.3,8,1,39,0,8,1,17,0,8,1,1006.9,8,1,86,8,1,2.3,8,1,7.7,8,ñkêº,8,1
2012/12/12,1.4,8,1,-3.3,8,1,63,0,8,1,26,0,8,1,1013.7,8,1,86,8,1,1.8,8,1,6.5,8,ñkêº,8,1
2012/12/13,1.3,8,1,-7.6,8,1,67,0,8,1,4,0,8,1,1021.0,8,1,74,8,1,1.6,8,1,3.5,8,êºìÏêº,8,1
2012/12/14,1.7,8,1,-4.5,8,1,58,0,8,1,4,0,8,1,1018.3,8,1,74,8,1,2.6,8,1,6.4,8,ìÏ,8,1
2012/12/15,1.3,8,1,-4.5,8,1,55,0,8,1,1,0,8,1,1014.9,8,1,69,8,1,2.0,8,1,4.6,8,ìÏìå,8,1
2012/12/16,3.6,8,1,-1.1,8,1,68,0,8,1,16,0,8,1,1006.2,8,1,85,8,1,2.5,8,1,8.1,8,êºñkêº,8,1
2012/12/17,2.5,8,1,-1.9,8,1,59,0,8,1,2,0,8,1,1013.1,8,1,63,8,1,1.9,8,1,5.0,8,êºìÏêº,8,1
2012/12/18,1.2,8,1,-3.7,8,1,87,0,8,1,29,0,8,1,1003.5,8,1,88,8,1,3.9,8,1,10.1,8,ñkñkêº,8,1
2012/12/19,-2.9,8,1,-6.8,8,1,84,0,8,1,1,0,8,1,1008.0,8,1,59,8,1,2.9,8,1,7.6,8,êºñkêº,8,1
2012/12/20,-1.8,8,1,-8.2,8,1,76,0,8,1,0,1,8,1,1013.1,8,1,59,8,1,3.8,8,1,7.3,8,ñkêº,8,1
2012/12/21,0.2,8,1,-3.6,8,1,70,0,8,1,0,1,8,1,1017.1,8,1,53,8,1,3.0,8,1,7.1,8,êºñkêº,8,1
2012/12/22,0.7,8,1,-3.2,8,1,70,0,8,1,7,0,8,1,1007.9,8,1,77,8,1,3.8,8,1,6.7,8,ñkêº,8,1
2012/12/23,-2.2,8,1,-7.3,8,1,72,0,8,1,7,0,8,1,1008.7,8,1,68,8,1,3.4,8,1,8.3,8,ñkêº,8,1
2012/12/24,-5.9,8,1,-11.3,8,1,74,0,8,1,4,0,8,1,1014.8,8,1,80,8,1,1.6,8,1,3.3,8,ìåñkìå,8,1
2012/12/25,-2.3,8,1,-13.5,8,1,71,0,8,1,3,0,8,1,1006.3,8,1,69,8,1,2.5,8,1,8.8,8,ñkêº,8,1
2012/12/26,-6.1,8,1,-10.5,8,1,81,0,8,1,12,0,8,1,1009.0,8,1,62,8,1,5.9,8,1,11.3,8,êº,8,1
2012/12/27,-5.5,8,1,-10.5,8,1,73,0,8,1,3,0,8,1,1015.2,8,1,59,8,1,4.9,8,1,9.8,8,êºñkêº,8,1
2012/12/28,-2.1,8,1,-9.2,8,1,71,0,8,1,0,1,8,1,1021.6,8,1,54,8,1,3.3,8,1,5.7,8,êº,8,1
2012/12/29,-2.6,8,1,-6.1,8,1,67,0,8,1,1,0,8,1,1022.4,8,1,62,8,1,3.5,8,1,7.8,8,ñkñkêº,8,1
2012/12/30,6.8,8,1,-4.1,8,1,65,0,8,1,2,0,8,1,1001.5,8,1,79,8,1,5.3,8,1,11.6,8,ìÏìÏìå,8,1
2012/12/31,1.8,8,1,-6.9,8,1,60,0,8,1,5,0,8,1,993.8,8,1,68,8,1,3.3,8,1,8.1,8,ìÏêº,8,1
2013/1/1,-4.0,8,1,-7.4,8,1,60,0,8,1,1,0,8,1,1007.8,8,1,64,8,1,2.0,8,1,4.4,8,ìå,8,1
2013/1/2,-1.9,8,1,-6.7,8,1,58,0,8,1,2,0,8,1,1007.1,8,1,67,8,1,3.1,8,1,10.7,8,êºìÏêº,8,1
2013/1/3,-3.6,8,1,-9.2,8,1,57,0,8,1,0,1,8,1,1008.1,8,1,42,8,1,5.2,8,1,9.5,8,êº,8,1
2013/1/4,-5.3,8,1,-9.1,8,1,58,0,8,1,4,0,8,1,1011.1,8,1,54,8,1,4.1,8,1,9.1,8,êºñkêº,8,1
2013/1/5,-0.4,8,1,-10.5,8,1,58,0,8,1,0,1,8,1,1012.7,8,1,58,8,1,3.1,8,1,6.9,8,ìÏìÏìå,8,1
2013/1/6,-1.3,8,1,-8.6,8,1,61,0,8,1,5,0,8,1,1008.9,8,1,67,8,1,4.2,8,1,9.6,8,êºñkêº,8,1
2013/1/7,-5.3,8,1,-10.6,8,1,59,0,8,1,0,1,8,1,1012.8,8,1,58,8,1,3.4,8,1,7.4,8,ñkêº,8,1
2013/1/8,-3.7,8,1,-10.6,8,1,57,0,8,1,0,1,8,1,1013.2,8,1,54,8,1,2.8,8,1,6.7,8,êºñkêº,8,1
2013/1/9,-4.0,8,1,-12.2,8,1,57,0,8,1,1,0,8,1,1010.0,8,1,61,8,1,1.9,8,1,5.5,8,êºìÏêº,8,1
2013/1/10,-3.6,8,1,-9.5,8,1,57,0,8,1,0,1,8,1,1009.8,8,1,52,8,1,3.1,8,1,6.3,8,êºñkêº,8,1
2013/1/11,-4.7,8,1,-9.2,8,1,56,0,8,1,0,1,8,1,1016.7,8,1,59,8,1,3.3,8,1,8.0,8,ñkêº,8,1
2013/1/12,-2.4,8,1,-6.6,8,1,56,0,8,1,0,1,8,1,1015.3,8,1,71,8,1,2.3,8,1,4.3,8,ìÏìÏìå,8,1
2013/1/13,-1.3,8,1,-8.2,8,1,62,0,8,1,7,0,8,1,1015.8,8,1,57,8,1,4.5,8,1,10.1,8,ñkêº,8,1
2013/1/14,-3.3,8,1,-8.2,8,1,59,0,8,1,0,1,8,1,1013.2,8,1,64,8,1,1.6,8,1,3.4,8,ñkñkêº,8,1
2013/1/15,-5.0,8,1,-9.3,8,1,69,0,8,1,13,0,8,1,1011.7,8,1,74,8,1,3.2,8,1,10.0,8,ñk,8,1
2013/1/16,-2.9,8,1,-10.3,8,1,69,0,8,1,2,0,8,1,1014.0,8,1,70,8,1,1.5,8,1,6.0,8,ñkêº,8,1
2013/1/17,-6.4,8,1,-11.1,8,1,75,0,8,1,12,0,8,1,1011.4,8,1,73,8,1,1.6,8,1,3.8,8,ìåñkìå,8,1
2013/1/18,-4.8,8,1,-11.5,8,1,81,0,8,1,9,0,8,1,1007.2,8,1,74,8,1,3.3,8,1,7.5,8,ñkêº,8,1
2013/1/19,-0.3,8,1,-5.9,8,1,83,0,8,1,9,0,8,1,1010.6,8,1,75,8,1,5.1,8,1,8.8,8,ñkêº,8,1
2013/1/20,0.3,8,1,-2.1,8,1,92,0,8,1,12,0,8,1,1019.0,8,1,84,8,1,5.8,8,1,9.1,8,ñkêº,8,1
2013/1/21,0.0,8,1,-2.8,8,1,92,0,8,1,4,0,8,1,1023.3,8,1,79,8,1,3.2,8,1,8.0,8,ñkñkêº,8,1
2013/1/22,-0.5,8,1,-4.7,8,1,89,0,8,1,0,1,8,1,1016.2,8,1,69,8,1,1.4,8,1,2.9,8,ìå,8,1
2013/1/23,-0.2,8,1,-6.9,8,1,90,0,8,1,5,0,8,1,1014.9,8,1,75,8,1,1.3,8,1,2.9,8,ìÏ,8,1
2013/1/24,1.9,8,1,-8.6,8,1,96,0,8,1,13,0,8,1,1006.9,8,1,72,8,1,4.3,8,1,9.8,8,ìÏìÏìå,8,1
2013/1/25,2.7,8,1,-7.3,8,1,97,0,8,1,2,0,8,1,993.5,8,1,67,8,1,4.9,8,1,10.5,8,ìÏìÏêº,8,1
2013/1/26,-2.2,8,1,-8.6,8,1,86,0,8,1,0,1,8,1,991.1,8,1,59,8,1,3.2,8,1,8.6,8,ñkñkêº,8,1
2013/1/27,-0.3,8,1,-4.1,8,1,89,0,8,1,7,0,8,1,1005.8,8,1,77,8,1,6.8,8,1,10.7,8,ñkñkêº,8,1
2013/1/28,-0.9,8,1,-8.0,8,1,90,0,8,1,2,0,8,1,1011.9,8,1,72,8,1,1.5,8,1,4.1,8,ñkñkêº,8,1
2013/1/29,-1.0,8,1,-10.1,8,1,96,0,8,1,12,0,8,1,1015.0,8,1,78,8,1,2.8,8,1,6.9,8,ñkñkêº,8,1
2013/1/30,0.5,8,1,-3.9,8,1,97,0,8,1,3,0,8,1,1021.3,8,1,79,8,1,5.8,8,1,10.7,8,ñkêº,8,1
2013/1/31,2.0,8,1,-4.7,8,1,94,0,8,1,0,1,8,1,1029.1,8,1,79,8,1,1.5,8,1,3.8,8,ñkñkêº,8,1
2013/2/1,4.7,8,1,-4.7,8,1,91,0,8,1,0,1,8,1,1023.1,8,1,72,8,1,4.4,8,1,12.2,8,ìÏìÏìå,8,1
2013/2/2,7.6,8,1,-5.6,8,1,85,0,8,1,0,1,8,1,1004.0,8,1,64,8,1,5.9,8,1,14.3,8,ìÏìÏìå,8,1
2013/2/3,-3.9,8,1,-7.5,8,1,73,0,8,1,3,0,8,1,1010.9,8,1,62,8,1,5.2,8,1,9.9,8,êºñkêº,8,1
2013/2/4,-1.3,8,1,-5.1,8,1,81,0,8,1,9,0,8,1,1007.5,8,1,72,8,1,2.4,8,1,8.6,8,ñkêº,8,1
2013/2/5,-3.0,8,1,-7.1,8,1,87,0,8,1,9,0,8,1,1011.8,8,1,56,8,1,6.1,8,1,11.5,8,ñkêº,8,1
2013/2/6,-1.5,8,1,-7.5,8,1,82,0,8,1,0,1,8,1,1013.4,8,1,61,8,1,1.3,8,1,2.9,8,ìÏìå,8,1
2013/2/7,0.5,8,1,-8.8,8,1,101,0,8,1,23,0,8,1,1001.9,8,1,77,8,1,4.4,8,1,9.4,8,ìÏìÏìå,8,1
2013/2/8,0.0,8,1,-4.1,8,1,104,0,8,1,7,0,8,1,996.2,8,1,78,8,1,6.8,8,1,14.4,8,ñkêº,8,1
2013/2/9,-1.9,8,1,-8.3,8,1,110,0,8,1,7,0,8,1,1011.6,8,1,73,8,1,4.4,8,1,10.4,8,êºñkêº,8,1
2013/2/10,-1.5,8,1,-11.0,8,1,105,0,8,1,0,1,8,1,1011.3,8,1,70,8,1,1.7,8,1,4.5,8,ìå,8,1
2013/2/11,-2.8,8,1,-10.1,8,1,100,0,8,1,0,1,8,1,1011.5,8,1,71,8,1,1.6,8,1,3.4,8,ìÏìå,8,1
2013/2/12,-1.8,8,1,-11.0,8,1,97,0,8,1,2,0,8,1,1020.2,8,1,72,8,1,1.9,8,1,4.5,8,ñkñkêº,8,1
2013/2/13,-0.4,8,1,-7.5,8,1,96,0,8,1,3,0,8,1,1015.5,8,1,70,8,1,1.8,8,1,4.8,8,ñk,8,1
2013/2/14,0.4,8,1,-5.6,8,1,106,0,8,1,13,0,8,1,1015.1,8,1,82,8,1,1.3,8,1,3.6,8,ìÏìÏìå,8,1
2013/2/15,0.2,8,1,-7.4,8,1,103,0,8,1,3,0,8,1,1009.6,8,1,61,8,1,3.0,8,1,6.5,8,ñkêº,8,1
2013/2/16,-4.0,8,1,-7.9,8,1,116,0,8,1,19,0,8,1,1008.9,8,1,77,8,1,2.8,8,1,7.7,8,ñkñkêº,8,1
2013/2/17,-2.0,8,1,-9.5,8,1,128,0,8,1,12,0,8,1,1015.7,8,1,69,8,1,3.2,8,1,8.1,8,ñkñkêº,8,1
2013/2/18,-3.4,8,1,-10.1,8,1,119,0,8,1,5,0,8,1,1008.1,8,1,82,8,1,2.0,8,1,4.5,8,ìÏìÏêº,8,1
2013/2/19,-1.2,8,1,-6.9,8,1,120,0,8,1,4,0,8,1,1003.9,8,1,75,8,1,2.3,8,1,5.9,8,êºñkêº,8,1
2013/2/20,-4.1,8,1,-8.7,8,1,117,0,8,1,0,1,8,1,1005.6,8,1,58,8,1,3.7,8,1,10.4,8,êº,8,1
2013/2/21,-2.5,8,1,-8.8,8,1,120,0,8,1,9,0,8,1,1009.0,8,1,59,8,1,4.1,5,1,10.3,8,êº,8,1
2013/2/22,-2.0,8,1,-8.7,8,1,114,0,8,1,0,1,8,1,1009.8,8,1,62,8,1,2.3,8,1,7.9,8,ñkêº,8,1
2013/2/23,-2.4,8,1,-9.3,8,1,110,0,8,1,0,1,8,1,1008.9,8,1,58,8,1,3.3,8,1,8.7,8,êº,8,1
2013/2/24,-4.6,8,1,-10.0,8,1,119,0,8,1,11,0,8,1,1009.1,8,1,77,8,1,2.0,8,1,9.0,8,ñkñkêº,8,1
2013/2/25,-3.3,8,1,-11.3,8,1,137,0,8,1,23,0,8,1,1016.6,8,1,71,8,1,2.5,8,1,9.3,8,ñkñkêº,8,1
2013/2/26,0.2,8,1,-9.5,8,1,136,0,8,1,0,1,8,1,1017.4,8,1,54,8,1,2.8,8,1,6.8,8,êº,8,1
2013/2/27,2.7,8,1,-4.3,8,1,123,0,8,1,0,1,8,1,1011.3,8,1,65,8,1,4.6,8,1,9.2,8,ìÏìÏìå,8,1
2013/2/28,5.3,8,1,-1.7,8,1,118,0,8,1,6,0,8,1,1010.6,8,1,69,8,1,3.7,8,1,9.6,8,ñkêº,8,1
2013/3/1,3.5,8,1,-1.3,8,1,115,0,8,1,0,1,8,1,1004.6,8,1,79,8,1,5.9,8,1,12.4,8,ìÏ,8,1
2013/3/2,3.6,8,1,-3.1,8,1,112,0,8,1,8,0,8,1,988.8,8,1,78,8,1,9.0,8,1,15.3,8,ñkêº,8,1
2013/3/3,-0.8,8,1,-4.2,8,1,120,0,8,1,11,0,8,1,1008.6,8,1,73,8,1,6.7,8,1,14.1,8,ñkñkêº,8,1
2013/3/4,-0.1,8,1,-7.8,8,1,120,0,8,1,1,0,8,1,1012.8,8,1,77,8,1,2.0,8,1,4.9,8,ñkêº,8,1
2013/3/5,2.6,8,1,-4.8,8,1,114,0,8,1,0,1,8,1,1011.5,8,1,66,8,1,1.7,8,1,4.6,8,ìåìÏìå,8,1
2013/3/6,2.4,8,1,-3.6,8,1,112,0,8,1,6,0,8,1,1009.1,8,1,71,8,1,4.2,8,1,10.2,8,ñkêº,8,1
2013/3/7,3.6,8,1,-4.2,8,1,110,0,8,1,0,1,8,1,1004.9,8,1,76,8,1,5.1,8,1,15.3,8,ìÏìÏìå,8,1
2013/3/8,6.2,8,1,-2.4,8,1,115,0,8,1,10,0,8,1,995.7,8,1,76,8,1,3.3,8,1,10.4,8,ñkêº,8,1
2013/3/9,-2.1,8,1,-7.2,8,1,130,0,8,1,15,0,8,1,1003.9,8,1,72,8,1,6.7,8,1,14.5,8,ñkêº,8,1
2013/3/10,1.6,8,1,-6.4,8,1,129,0,8,1,6,0,8,1,993.2,8,1,69,8,1,6.2,8,1,11.8,8,ñkêº,8,1
2013/3/11,0.0,8,1,-7.4,8,1,131,0,8,1,6,0,8,1,1010.2,8,1,61,8,1,4.0,8,1,11.0,8,ñkñkêº,8,1
2013/3/12,6.5,8,1,-5.7,8,1,125,0,8,1,0,1,8,1,1009.0,8,1,65,8,1,2.8,8,1,5.5,8,ìÏìÏìå,8,1
2013/3/13,6.0,8,1,-1.8,8,1,117,0,8,1,5,0,8,1,1001.4,8,1,84,8,1,4.5,8,1,9.4,8,ñkêº,8,1
2013/3/14,-1.2,8,1,-4.8,8,1,114,0,8,1,0,1,8,1,1014.0,8,1,56,8,1,4.6,8,1,10.2,8,ñkêº,8,1
2013/3/15,5.7,8,1,-4.2,8,1,110,0,8,1,0,1,8,1,1013.7,8,1,59,8,1,3.4,8,1,7.1,8,ìÏìÏêº,8,1
2013/3/16,4.1,8,1,-5.1,8,1,114,0,8,1,9,0,8,1,1008.2,8,1,72,8,1,4.9,8,1,10.1,8,ñkêº,8,1
2013/3/17,5.2,8,1,-5.8,8,1,113,0,8,1,0,1,8,1,1011.0,8,1,58,8,1,4.2,8,1,8.5,8,ìÏìå,8,1
2013/3/18,6.4,8,1,2.4,8,1,106,0,8,1,0,1,8,1,1000.5,8,1,76,8,1,4.8,8,1,9.5,8,ìÏ,8,1
2013/3/19,9.0,8,1,-0.9,8,1,100,0,8,1,0,1,8,1,1001.9,8,1,64,8,1,3.6,8,1,11.5,8,êºìÏêº,8,1
2013/3/20,2.5,8,1,-3.9,8,1,107,0,8,1,13,0,8,1,1002.8,8,1,74,8,1,3.9,8,1,8.1,8,ñkêº,8,1
2013/3/21,-2.4,8,1,-5.2,8,1,117,0,8,1,10,0,8,1,1000.6,8,1,66,8,1,5.5,8,1,9.9,8,ñkêº,8,1
2013/3/22,3.4,8,1,-4.2,8,1,109,0,8,1,0,1,8,1,1002.2,8,1,70,8,1,4.1,8,1,10.2,8,ìÏìÏìå,8,1
2013/3/23,0.9,8,1,-3.8,8,1,100,0,8,1,0,1,8,1,1005.8,8,1,55,8,1,3.5,8,1,7.3,8,êºñkêº,8,1
2013/3/24,3.9,8,1,-3.4,8,1,97,0,8,1,0,1,8,1,1009.2,8,1,56,8,1,2.4,8,1,5.6,8,ñkñkêº,8,1
2013/3/25,3.1,8,1,-4.6,8,1,95,0,8,1,1,0,8,1,1006.6,8,1,58,8,1,1.9,8,1,4.7,8,ñkñkêº,8,1
2013/3/26,3.5,8,1,-2.5,8,1,95,0,8,1,1,0,8,1,1012.5,8,1,66,8,1,3.3,8,1,8.4,8,ñkêº,8,1
2013/3/27,6.0,5,1,-0.4,8,1,92,0,8,1,0,1,8,1,1017.7,8,1,54,8,1,5.3,8,1,9.3,8,ìÏìÏìå,8,1
2013/3/28,8.5,8,1,2.1,8,1,87,0,8,1,0,1,8,1,1007.4,8,1,80,8,1,4.0,8,1,9.3,8,ìå,8,1
2013/3/29,5.2,8,1,-1.1,8,1,82,0,8,1,3,0,8,1,1008.5,8,1,60,8,1,2.4,8,1,6.9,8,êºñkêº,8,1
2013/3/30,4.3,8,1,-2.8,8,1,82,0,8,1,0,1,8,1,1015.2,8,1,60,8,1,2.8,8,1,8.1,8,ñkñkêº,8,1
2013/3/31,4.1,8,1,-1.9,8,1,78,0,8,1,0,1,8,1,1016.6,8,1,52,8,1,2.3,8,1,7.1,8,ñkñkêº,8,1
